flaged,second
5,
9,
11,
13,
23,x
27,
51,
53,
59,c
61,
62,x
67,
69,x
71,
73,
76,
77,
79,
105,x
110,c
116,
121,x
122,x
123,
128,x
130,x
131,
141,
144,
145,
152,
158,
160,
164,c
170,
172,
179,
180,
187,
189,
191,
200,c
201,
204,
205,x
210,
211,
212,
213,
216,c
220,
224,
230,x
232,x
240,
242,x
247,
256,
258,
260,x
261,
266,x
273,x
300,
301,
304,
306,x
310,
313,x
326,
327,
331,x
332,
337,x
343,x
351,
356,x
359,x
361,x
367,c
373,x
374,x
375,
380,
389,
404,
408,
409,
416,x
418,
419,c
430,x
431,x
432,
440,x
441,
442,
450,
451,
456,x
457,
468,c
477,c
484,?
491,
496,
497,c
503,
507,x
511,
513,c
516,x
519,
530,
532,
543,
548,
549,
551,
552,
553,
554,
556,x
557,
563,
579,
581,
582,
584,c
585,c
588,x
593,x
594,x
600,
601,
607,x
614,x
616,
618,
620,
626,
627,
628,
629,x
630,
632,x
643,x
651,x
653,x
654,
656,
657,
659,
660,x
661,x
669,
686,
691,
698,
700,
709,
710,
712,x
714,
720,x
722,
727,
735,
736,
738,x
740,
744,x
745,c
747,x
750,
751,
762,
765,
793,c
794,
797,c
798,x
801,
804,
809,x
810,
811,
813,
815,x
817,
818,x
824,
827,x
831,
839,
845,
846,
849,x
851,
854,
857,c
867,x
869,
871,
